,名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
30,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,8
31,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,8
32,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,9
33,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,9
34,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,9
35,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,9
36,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,10
37,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,10
38,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,10
39,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,10
